Status;Title;Ident Code;Criteria C;Criteria;Qualifying;#Qualifyin;Supporting;#Supportin;Region;Region Cod;Location;Location C;Area Squar;Month Subm;Year Submi;Month Clas;Year Class;Month Modi;Year Modif;Details
IMMA;Abrolhos Bank IMMA;04SWATLO222323IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;B1, B2, C1, D1, D2;Megaptera novaeangliae, Sotalia guianensis, Pontoporia blainvillei, Eubalaena australis, Steno bredanensis, Tursiops truncatus truncatus, Balaenoptera edeni, Balaenoptera acutorostrata, Balaenoptera bonaerensis, Pseudorca crassidens, Feresa attenuata, Peponocephala electra, Grampus griseus, Stenella frontalis, Stenella attenuata, Stenella longirostris;16;NULL;;South West Atlantic Ocean;SWATLO;Brazil;BRA;60378;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/abrolhos-bank-imma
IMMA;Akamas and Chrysochou Bay IMMA;01MEDSEA161717IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C1;Monachus monachus;1;;;Mediterranean;MEDSEA;Cyprus;CYP;284;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/akamas-chrysochou-bay/
IMMA;Akrotiri IMMA;02MEDSEA161717IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C1;Monachus monachus;1;;;Mediterranean;MEDSEA;Cyprus;CYP;45;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/akrotiri/
IMMA;Albany Canyon Region IMMA;01ANSEIO202022IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;A, B2, C2;Physeter macrocephalus, Orcinus orca;2;Delphinus delphis, Stenella coeruleoalba, Balaenoptera musculus, Balaenoptera physalus, Megaptera novaeangliae, Eubalaena australis, Mesoplodon layardii, Pseudorca crassidens, Globicephala melas;9;Australia, New Zealand and Southest Indian Ocean;ANSEIO;Australia;AUS;90657;2;2020;7;2020;11;2022;https://www.marinemammalhabitat.org/portfolio-item/albany-canyon-region/
IMMA;Alboran Corridor IMMA;03MEDSEA161717IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C3;Balaenoptera physalus, Physeter macrocephalus;2;Orcinus orca, Stenella coeruleoalba, Delphinus delphis, Tursiops truncatus, Globicephala melas;5;Mediterranean;MEDSEA;Gibraltar, Morocco, Spain;GIB, MCO, ESP;20217;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/alboran-corridor/
IMMA;Alboran Deep IMMA;04MEDSEA161718IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, C2, D2;Globicephala melas, Grampus griseus, Physeter macrocephalus, Ziphius cavirostris;4;Balaenoptera physalus, Delphinus delphis, Tursiops truncatus;3;Mediterranean;MEDSEA;Algeria, Morocco, Spain;DZA, MCO, ESP;22660;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/alboran-deep/
IMMA;Alboran Sea IMMA;05MEDSEA161717IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C1, C2, D1, D2;Delphinus delphis, Tursiops truncatus;2;Balaenoptera physalus, Globicephala melas, Orcinus orca, Grampus griseus, Physeter macrocephalus, Ziphius cavirostris, Stenella coeruleoalba;7;Mediterranean;MEDSEA;Gibraltar, Morocco, Spain;GIB, MCO, ESP;55938;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/alboran-sea/
IMMA;Aldabra Atoll IMMA;01WIOCAS191919IMMA;Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities;A, C1, C2, C3;Dugong dugon, Megaptera novaeangliae;2;Delphinus delphis, Globicephala macrorhynchus, Grampus griseus, Mesoplodon densirostris, Orcinus orca, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Tursiops truncatus, Ziphius cavirostris;12;Western Indian Ocean and Arabian Seas;WIOCAS;Seychelles;SYC;393;4;2019;12;2019;12;2019;https://www.marinemammalhabitat.org/portfolio-item/aldabra-atoll/
IMMA;Almirantazgo Sound IMMA;01SETTPO222222IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities;B1, C1;Cephalorhynchus commersonii, Mirounga leonina, Hydrurga leptonyx;3;Lagenorhynchus australis, Orcinus orca, Cephalorhynchus eutropia;3;South East Tropical and Temperate Pacific Ocean;SETTPO;Chile;CHL;1143;6;2022;11;2022;11;2022;https://www.marinemammalhabitat.org/portfolio-item/almirantazgo-sound-imma/
IMMA;Almirante Montt Gulf IMMA;02SETTPO222222IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;B1, C1, D1;Cephalorhynchus eutropia, Mirounga leonina;2;Arctocephalus australis, Cephalorhynchus commersonii, Hydrurga leptonyx, Lagenorhynchus australis, Lagenorhynchus obscurus, Otaria byronia, Megaptera novaeangliae;7;South East Tropical and Temperate Pacific Ocean;SETTPO;Chile;CHL;2174;6;2022;11;2022;11;2022;https://www.marinemammalhabitat.org/portfolio-item/almirante-montt-gulf-imma/
